0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
0500;1000000;;5b25a48800000160;000000000000000fe40b;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;730200030000;01c9;0001;0001;01;1352ad9c;;01;011d;a8749cc1;c7dc255b;6f;        ;37d6cdc9;;                        ;  ;                        ;  ;                        ;  ;;;;;1;31.0;31.0;0000000000000fe40b00;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9adb;0000000000000000000fe40b;00000744;000005f0;00001360;00001360;;;;;;;;;;;;;;;;;;;;;b34207bdcc9761a30001
0500;1000000;;5b25a5b000000082;000000000000000fe40c;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;732700030000;01c9;0001;0001;01;14ada9a5;;01;0a24;e6845cef;efdd255b;6f;        ;47db311e;;                        ;  ;                        ;  ;                        ;  ;;;;;2;31.0;31.0;0000000000000fe40c00;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9adc;0000000000000000000fe40c;000006c2;0000076c;00000fe6;00000fe6;;;;;;;;;;;;;;;;;;;;;6717747535ea73770001
0900;1000000;;5b25a5b200000319;000000000000000fe40d;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;            ;    ;    ;    ;  ;        ;;  ;    ;        ;        ;  ;        ;        ;;                        ;  ;                        ;  ;                        ;  ;;;;;3;31.0;31.0;0000000000000fe40d00;0f;30a074bff7b9cf1200011a62d09f6895edde00012843e6de73ad42cf0001958e0b20954a8ac1000100000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;                        ;0000000000000000000fe40d;00000636;0000078a;0000134c;0000134c;;;;;;;;;;;;;;;;;;;;;4d8d578dd82e328c0001
0500;1000000;;5b25a5df000003bf;000000000000000fe40e;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;061000060000;01c9;0004;0009;01;53ccb3e4;;01;0303;2fe943fe;1fde255b;73;        ;177be574;;                        ;  ;                        ;  ;                        ;  ;;;;;4;31.0;31.0;0000000000000fe40e00;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9add;0000000000000000000fe40e;000006fe;000007d0;0000127a;0000127a;;;;;;;;;;;;;;;;;;;;;f7cf7839230bdff80001
0500;1000000;;5b25a630000000fd;000000000000000fe40f;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;061500060000;01c9;0004;0009;01;576c9f7a;;01;00ac;0c8139a6;6fde255b;73;        ;2fd4b48b;;                        ;  ;                        ;  ;                        ;  ;;;;;5;31.0;31.0;0000000000000fe40f00;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9ade;0000000000000000000fe40f;000005e6;000006b8;00001040;00001040;;;;;;;;;;;;;;;;;;;;;561182bb1cf412a90001
0900;1000000;;5b25a63a000000ad;000000000000000fe410;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;            ;    ;    ;    ;  ;        ;;  ;    ;        ;        ;  ;        ;        ;;                        ;  ;                        ;  ;                        ;  ;;;;;6;31.0;31.0;0000000000000fe41000;0f;6de8646b8615ec5a0001eb0f01cc8b8d7340000124d669793c9551550001080c219b63dd9874000100000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;                        ;0000000000000000000fe410;000005d2;000006d6;00001216;00001216;;;;;;;;;;;;;;;;;;;;;5ca23a134d150c430001
0500;1000000;;5b25a6a30000021c;000000000000000fe411;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;061000060000;01c9;0004;0009;01;52cc0719;;01;0610;639e833b;e3de255b;73;        ;624c1635;;                        ;  ;                        ;  ;                        ;  ;;;;;7;31.0;31.0;0000000000000fe41100;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9adf;0000000000000000000fe411;00000762;00000604;000012f2;000012f2;;;;;;;;;;;;;;;;;;;;;9b4c2a6c03334d770001
0500;1000000;;5b25a6a8000000a8;000000000000000fe413;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;730200030000;01c9;0003;0009;01;134754aa;;01;0239;43ec2439;e7de255b;73;        ;aca44474;;                        ;  ;                        ;  ;                        ;  ;;;;;8;31.0;31.0;0000000000000fe41300;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9ae1;0000000000000000000fe413;000005d2;000006e0;00000ff0;00000ff0;;;;;;;;;;;;;;;;;;;;;2e573909c91a1c8e0001
0d00;1000000;;5b25a6a500000159;000000000000000fe412;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;732700030000;01c9;0001;0001;01;13bda806;;01;09ed;0eefea9a;e4de255b;6f;        ;c6ff0890;;                        ;  ;                        ;  ;                        ;  ;;;;;9;31.0;31.0;0000000000000fe41200;0f;b091d52f9332880700013156b10b28a0d9f500016b2ad3896b48f440000180629e81e74d47cf000100000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9ae0;0000000000000000000fe412;000005f0;000006b8;00000f50;00000f50;;;;;;;;;;;;;;;;;;;;;9a389b68fcb7babe0001
0500;1000000;;5b25a6a9000003b9;000000000000000fe414;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;061500060000;01c9;0004;0009;01;5748817e;;01;043d;889ca0cd;e9de255b;73;        ;312b0e82;;                        ;  ;                        ;  ;                        ;  ;;;;;10;31.0;31.0;0000000000000fe41400;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9ae2;0000000000000000000fe414;0000060e;000005fa;00000f3c;00000f3c;;;;;;;;;;;;;;;;;;;;;832242f4ba798a110001
0500;1000000;;5b25a6f100000362;000000000000000fe415;;724001;139;13902;;;;1;2;;;;;;;;;;;;;;;;;;;700100030000;01c9;0001;0001;01;10861ca1;;01;0eb3;c1872fef;31df255b;6f;        ;27fac95a;;                        ;  ;                        ;  ;                        ;  ;;;;;11;31.0;31.0;0000000000000fe41500;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9ae3;0000000000000000000fe415;000005dc;000005f0;00000c3a;00000c3a;;;;;;;;;;;;;;;;;;;;;adfb9f6bcc0006370001
0500;1000000;;5b25a73e000003c6;000000000000000fe416;;724001;139;13902;;;;1;2;;;;;;;;;;;;;;;;;;;061000060000;01c9;0002;0005;01;63580782;;01;0093;96fa7422;7edf255b;73;        ;8c13d717;;                        ;  ;                        ;  ;                        ;  ;;;;;12;31.0;31.0;0000000000000fe41600;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9ae4;0000000000000000000fe416;000006f4;000006f4;000011ee;000011ee;;;;;;;;;;;;;;;;;;;;;46ac39d6017d81400001
0500;1000000;;5b25a74f00000206;000000000000000fe417;;724001;139;13902;;;;1;1;;;;;;;;;;;;;;;;;;;061500060000;01c9;0004;0009;01;5790ae4a;;01;00e4;64bfb875;8edf255b;73;        ;2dc6e3c2;;                        ;  ;                        ;  ;                        ;  ;;;;;13;31.0;31.0;0000000000000fe41700;00;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;0000000000000000000d9ae5;0000000000000000000fe417;000005dc;000006b8;00000fbe;00000fbe;;;;;;;;;;;;;;;;;;;;;4bd044e40996ebc60001
