0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
9;10004;000000000000000000000000000000000000800003C07E0180000000211F;5B108C7D00036AFB;00FB2D8F;        ;      ;      ;20101;  ;  ;  ;  ;05;;;;;;;;;;;;;;;;;;;            ;        ;        ;    ;  ;        ;            ;  ;    ;        ;        ;  ;        ;        ;  ;00722E52;01;        ;  ;        ;  ;        ;  ;        ;  ;31;074E4F2052454144000000;0343484C00000000640000;01284880;0F;CC743CAD2382DA9D3030D35C3E6B8D59EF97303052735D4FA8440FD8303076BF5BD7B0B6B5B13030000000000000000000000000000000000000000000000000000000000000;;;;;;;        ;00890897;00000712;000007B2;00001478;;;;;;;;;;;;;;;;;;;;;;39F60DD3DBA2B8F13030
9;10000;000000000000000000000000000000000000800003C07E0000000000211F;5B108C7C00083D82;00FB2D90;        ;      ;      ;20101;  ;  ;  ;  ;04;;;;;;;;;;;;;;;;;;;            ;        ;        ;    ;  ;        ;            ;  ;    ;        ;        ;  ;        ;        ;  ;        ;  ;        ;  ;        ;  ;        ;  ;        ;  ;074E4F2052454144000000;074E4F2052454144000000;0000000000000000000000;01284881;0F;15648DB6FBC4B1D530304B358B9CD781C821303047381F68541873FD30301F524FF8CBC85F8B3030000000000000000000000000000000000000000000000000000000000000;;;;;;;        ;00890898;00000B40;00000A00;00004808;;;;;;;;;;;;;;;;;;;;;;05E684B2A52C84B13030
5;0;000000000000000000000000000000000000800003C0000180000000211F;5B108C800006261D;00FB2D91;        ;      ;      ;20101;  ;  ;  ;  ;05;;;;;;;;;;;;;;;;;;;            ;        ;        ;    ;  ;        ;            ;  ;    ;        ;        ;  ;        ;        ;  ;00722E56;01;        ;  ;        ;  ;        ;  ;        ;  ;                      ;                      ;                      ;        ;  ;                                                                                                                                            ;;;;;;;        ;00890899;000005FA;000006E0;00000FC8;;;;;;;;;;;;;;;;;;;;;;7C35A1DE1217E9B83030
5;1;0000000000000000000000000000000000008000002000007FFF00001FFF;5B108C810000A85B;00FB2D92;38C10000;724002;000201;20101;01;07;10;07;  ;;;;;;;;;;;;;;;;;;;700100030000;000001C9;00000001;0001;01;0942170B;000000000000;01;841F;E4E86ACF;5B108C81;73;95DEF196;95DEF196;10;        ;  ;        ;  ;        ;  ;        ;  ;        ;  ;                      ;                      ;                      ;        ;  ;                                                                                                                                            ;;;;;;;00722E57;        ;        ;        ;        ;;;;;;;;;;;;;;;;;;;;;;D223BF5BFC1B62D43030
5;2;0000000000000000000000000000000000008000002000007FFF00001FFF;5B108B720005ED56;00FB2D93;00000000;000000;000000;20101;00;00;00;00;  ;;;;;;;;;;;;;;;;;;;700100030B01;000001C9;00000001;0001;01;00000000;000000000000;00;0000;00000000;5B108B72;73;00000000;00000000;00;        ;  ;        ;  ;        ;  ;        ;  ;        ;  ;                      ;                      ;                      ;        ;  ;                                                                                                                                            ;;;;;;;00722DD5;        ;        ;        ;        ;;;;;;;;;;;;;;;;;;;;;;05262E4C2A1476513030
9;10004;000000000000000000000000000000000000800003C07E0180000000211F;5B108B7300004605;00FB2D94;        ;      ;      ;20101;  ;  ;  ;  ;05;;;;;;;;;;;;;;;;;;;            ;        ;        ;    ;  ;        ;            ;  ;    ;        ;        ;  ;        ;        ;  ;00722DD5;01;        ;  ;        ;  ;        ;  ;        ;  ;32;074E4F2052454144000000;0343484C00000000640000;01284847;0F;90787F5F57DEADD43030E38B5FFEFDB0A386303096023635B49DD77A303023A51682E044AB1F3030000000000000000000000000000000000000000000000000000000000000;;;;;;;        ;0089089A;00000622;0000069A;00000FFA;;;;;;;;;;;;;;;;;;;;;;308F3DC3CAAB49463030
9;10004;000000000000000000000000000000000000800003C07E0180000000211F;5B108C7E0007C277;00FB2D95;        ;      ;      ;20101;  ;  ;  ;  ;04;;;;;;;;;;;;;;;;;;;            ;        ;        ;    ;  ;        ;            ;  ;    ;        ;        ;  ;        ;        ;  ;00722E54;01;        ;  ;        ;  ;        ;  ;        ;  ;074E4F2052454144000000;074E4F2052454144000000;0000000000000000000000;01284882;0F;F1E9F3DF6B659FC33030FD5C0B66576DFA043030B65F411152FAF95F30300596C93FA4FD91013030000000000000000000000000000000000000000000000000000000000000;;;;;;;        ;0089089B;00000D48;00000A28;00003FFC;;;;;;;;;;;;;;;;;;;;;;CBE1CCD9A17EBE803030
5;1;0000000000000000000000000000000000008000002000007FFF00001FFF;5B108C820000A453;00FB2D96;38C10001;724002;000201;20101;01;07;00;07;  ;;;;;;;;;;;;;;;;;;;061500060000;000001C9;00000004;0009;01;577C67F3;000000000000;01;01A3;165CF551;5B108C82;73;159CE467;159CE467;00;        ;  ;        ;  ;        ;  ;        ;  ;        ;  ;                      ;                      ;                      ;        ;  ;                                                                                                                                            ;;;;;;;00722E58;        ;        ;        ;        ;;;;;;;;;;;;;;;;;;;;;;344B8F78554421943030
5;0;000000000000000000000000000000000000800003C0000180000000211F;5B108C82000DF64D;00FB2D97;        ;      ;      ;20101;  ;  ;  ;  ;05;;;;;;;;;;;;;;;;;;;            ;        ;        ;    ;  ;        ;            ;  ;    ;        ;        ;  ;        ;        ;  ;00722E58;01;        ;  ;        ;  ;        ;  ;        ;  ;                      ;                      ;                      ;        ;  ;                                                                                                                                            ;;;;;;;        ;0089089C;000005FA;0000071C;000010EA;;;;;;;;;;;;;;;;;;;;;;55C178D93893A7563030
5;1;0000000000000000000000000000000000008000002000007FFF00001FFF;5B108C840008632F;00FB2D98;38C10002;724002;000201;20101;01;07;00;07;  ;;;;;;;;;;;;;;;;;;;732700030000;000001C9;00000001;0001;01;151C05C8;000000000000;01;0223;69236F96;5B108C84;73;EF480EFA;EF480EFA;00;        ;  ;        ;  ;        ;  ;        ;  ;        ;  ;                      ;                      ;                      ;        ;  ;                                                                                                                                            ;;;;;;;00722E59;        ;        ;        ;        ;;;;;;;;;;;;;;;;;;;;;;080A3FFBB2B2DA783030
