0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96
0005;1;;5B357681000002D8;00000000000000000002;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;700100030300.0;01C9;0003;9.0;1.0;113EEA9D;;1.0;0152;CA1BE024;C05C4CD7;73;3036AFA8;3036AFA8;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB2D;;;;;;;;;;;;;;;;;;;;;;;;;;C9545F4C49CAF0F83031;
0005;1;;5B357681000003C7;00000000000000000003;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB2D;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0D3;00000578;00000834;00001748;00001748;;;;;;;;;;;;;;;;;;;;;FD3E8ACD3E1FFB783031;
0005;1;;5B357681000000FF;00000000000000000004;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0002;5.0;1.0;65485293;;46.0;0E86;E37279C8;6ECBF1E0;73;B623A01A;B623A01A;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB2E;;;;;;;;;;;;;;;;;;;;;;;;;;5E26E71327CBC8733031;
0005;1;;5B35768100000202;00000000000000000005;;724004;405;40502;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB2E;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0D4;00000DAC;00000A8C;00003EBC;00003EBC;;;;;;;;;;;;;;;;;;;;;54D47297C8EDC2F43031;
0005;1;;5B357683000000CE;00000000000000000006;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61000060000.0;01C9;0002;5.0;1.0;6330377A;;1.0;0B42;64319204;2E7852A7;73;11A26198;11A26198;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB2F;;;;;;;;;;;;;;;;;;;;;;;;;;3FC81C284B4D72913031;
0005;1;;5B3576830000017C;00000000000000000007;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB2F;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0D5;000005DC;00000898;00001694;00001694;;;;;;;;;;;;;;;;;;;;;9FD7E5BF3BEA920B3031;
0005;1;;5B357684000003BC;00000000000000000008;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0001;5.0;1.0;77A5B080;;1.0;00BC;92B38581;B2060F08;73;1E621B76;1E621B76;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB30;;;;;;;;;;;;;;;;;;;;;;;;;;49942F284BF8787A3031;
0005;1;;5B3576850000009A;00000000000000000009;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB30;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0D6;000006A4;00000834;000015EA;000015EA;;;;;;;;;;;;;;;;;;;;;AB0CE48D7CFF171F3031;
0005;1;;5B357685000000D7;0000000000000000000A;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0003;1.0;1.0;7784734B;;1.0;03A8;9F0A70C9;D16D1970;73;B2ABC746;B2ABC746;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB31;;;;;;;;;;;;;;;;;;;;;;;;;;993AAC8A4E0D03F83031;
000D;1;;5B357685000001A4;0000000000000000000B;;724004;405;40502;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB31;1.0;;;;;;;;;40;0544524a31340000000000;;00000000000001573B64;47.0;572F58452E05515130310F7ABD245996076D30319DBBD7EB85777B2230310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0D7;00000AF0;00000898;00001FCC;00001FCC;;;;;;;;;;;;;;;;;;;;;CB615E6C4E02A3303031;
0005;1;;5B357685000002E3;0000000000000000000C;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;732700030300.0;01C9;0001;1.0;1.0;16282C17;;1.0;0B07;D713910B;CB1B8956;73;04F6F776;04F6F776;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB32;;;;;;;;;;;;;;;;;;;;;;;;;;E1AEE71EA86255C93031;
0005;1;;5B3576850000039F;0000000000000000000D;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB32;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0D8;00000708;00000898;00001630;00001630;;;;;;;;;;;;;;;;;;;;;E0F55F982FDD2D033031;
0005;1;;5B35768A000001F1;0000000000000000000E;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0002;5.0;1.0;67800A72;;1.0;015C;2A99BB20;F2CC9DDD;73;BE914E2B;BE914E2B;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB33;;;;;;;;;;;;;;;;;;;;;;;;;;54E647653F0118783031;
0005;1;;5B35768A000002CB;0000000000000000000F;;724004;405;40502;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB33;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0D9;0000076C;0000076C;00001342;00001342;;;;;;;;;;;;;;;;;;;;;8F4ECE70187931713031;
0005;1;;5B35768C0000015A;00000000000000000010;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;700100030300.0;01C9;0003;9.0;1.0;09C9F370;;1.0;0AC6;A266DB37;1394A814;73;CE2CA4A0;CE2CA4A0;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB34;;;;;;;;;;;;;;;;;;;;;;;;;;41CFA5B9B095EE413031;
0005;1;;5B35768C00000210;00000000000000000011;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB34;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0DA;00000578;00000834;0000161C;0000161C;;;;;;;;;;;;;;;;;;;;;B76CE4C2D6ED74AB3031;
0005;1;;5B35768C00000213;00000000000000000012;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0001;5.0;1.0;77158D4A;;1.0;039F;D98716D8;2D78F8CE;73;E86D246E;E86D246E;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB35;;;;;;;;;;;;;;;;;;;;;;;;;;A41C3FC1ADC1A5273031;
